TSK-01	DP-fields
TSK-02	DP-jsdoc
TSK-03	DP-snaps
TSK-04	DL-ts-deps
TSK-05	DL-vite-ext
TSK-06	DL-layout
TSK-07	DL-types
TSK-08	DL-ast
TSK-09	DL-match
TSK-10	DL-fixtures
TSK-11	DL-content
TSK-12	LIN-types
TSK-13	LIN-headers
TSK-14	LIN-anchors
TSK-15	LIN-dbc
TSK-16	LIN-command
TSK-17	LIN-unit
TSK-18	LIN-e2e
TSK-19	DL-objprop
TSK-20	DL-tags
TSK-21	DL-jsdoc-fx
TSK-22	VC-headers
TSK-23	CLI-alt-core
TSK-24	CLI-alt-cli
TSK-25	CLI-alt-test
TSK-26	CLI-alt-tele
TSK-27	VC-url
TSK-28	VC-fileport
TSK-29	VC-gitlab
TSK-30	VC-github
TSK-31	CAT-mr-url
TSK-32	LIN-language
TSK-33	UC-notify
TSK-34	UC-tests
TSK-35	MOD-types
TSK-36	MON-service
TSK-37	DIF-compare
TSK-38	OBS-stream
TSK-39	AM-claude
TSK-40	AM-opencode
TSK-41	AM-exports
TSK-42	INP-rel-dep
TSK-43	INP-rel-conf
TSK-44	INP-rel-cmd
TSK-45	STA-manager
TSK-46	UI-dashui
TSK-47	CMD-entry
TSK-48	AMC-tui-deps
TSK-49	LIN-targets
TSK-50	LIN-dir-test
TSK-51	LIN-disable
TSK-52	LIN-purpose
TSK-53	SYN-command
TSK-54	SYN-tests
TSK-55	ORI-command
TSK-56	SYN-shared
TSK-57	SS-command
TSK-58	SS-skills
TSK-59	AR-command
TSK-60	E2E-harness
TSK-61	SS-run-all
TSK-62	COR-engine
TSK-63	OPE-adapter
TSK-64	COR-model
TSK-65	RUN-command
TSK-66	TES-tree
TSK-67	VC-approve
TSK-68	CLI-vcs-ctx
TSK-69	CLI-approve
TSK-70	CLI-vcs-use
TSK-71	VC-resolve
TSK-72	CLI-reopen
TSK-73	VC-unappr
TSK-74	CLI-revoke
TSK-75	VC-todos
TSK-76	CLI-todo
TSK-77	VC-noteedit
TSK-78	CLI-noteedit
TSK-79	CLI-suggest
TSK-81	CLI-diff
TSK-82	VC-pipeline
TSK-83	CLI-pipeline
TSK-84	VC-jobs
TSK-85	CLI-jobs
TSK-86	VC-drafts
TSK-87	CLI-draft
TSK-88	DL-redund
TSK-89	VMM-glcreate
TSK-90	VMM-gh-crud
TSK-91	CLI-mrcreate
TSK-92	CLI-mr-edit
TSK-93	CLI-discuss
TSK-94	CLI-reg-vcs
TSK-138	MS-config
TSK-139	MS-pipeline
TSK-156	IC-journal
TSK-157	IC-decision
TSK-158	IV-gitlab
TSK-159	IQ-executor
TSK-160	IO-session
TSK-161	IP-review
TSK-162	IA-rest-sse
TSK-163	IC-anchors
TSK-164	ID-spa
TSK-165	IE-harness
TSK-166	AI-seed
TSK-167	AI-fasttest
TSK-168	CLI-deplinks
TSK-168A	AI-skip-fix
TSK-169	ID-design
TSK-170	IA-health
TSK-171	CLI-submods
TSK-172	AI-roots
TSK-173	IC-state
TSK-174	IV-vcs-port
TSK-175	IO-runtime
TSK-176	IP-control
TSK-177	IQ-actions
TSK-178	IC-handoff
TSK-179	IA-proj
TSK-180	IM-cases
TSK-181	AI-cutover
TSK-182	ID-cockpit
TSK-183	IE-realeval
TSK-184	UC-semver
TSK-185	INP-pack-ai
TSK-186	VMM-core
